id,title,firstname,lastname,gender,nationality,phone,height,Shoe_Size,vegetarian,vegan,Staff,Guest,Team
1,Ms,Elsa,Medallion,Female,Guyana,865-415-6654,1.71,8.5,TRUE,FALSE,FALSE,TRUE,
2,Mrs,Diana,Butter,Female,Denmark,567-260-4903,1.69,8.5,FALSE,TRUE,FALSE,TRUE,
3,Dr,Nick,Salmon,Male,Chile,336-447-9258,1.54,9,TRUE,TRUE,FALSE,TRUE,
4,Dr,Adrian,Hazelnut,Male,Brazil,712-279-5597,1.78,8,TRUE,FALSE,FALSE,TRUE,
5,Dr,Ursala,Mulberry,Female,Armenia,461-852-8662,1.82,11,FALSE,TRUE,FALSE,TRUE,
6,Mr,Ian,Squash,Male,Denmark,831-409-6798,1.89,7.5,FALSE,TRUE,FALSE,TRUE,
7,Mr,Forester,Blonde,Male,Poland,756-641-7194,1.63,6.5,FALSE,TRUE,TRUE,FALSE,Gardening
8,Mr,Alexandre,Bone,Male,France,520-502-2903,1.85,1.5,TRUE,FALSE,FALSE,TRUE,
9,Mr,Xavier,Wine,Male,Canada,941-405-9975,1.66,9,FALSE,FALSE,FALSE,TRUE,
10,Mr,Patrick,Strawberry,Male,USA,330-584-0532,1.82,11,FALSE,TRUE,FALSE,TRUE,
11,Dr,Micheil,Maroon,Male,Philippines,153-663-5809,1.58,8.5,FALSE,FALSE,FALSE,TRUE,
12,Mr,Iain,Violet,Male,Iran,565-538-1824,1.66,11,FALSE,FALSE,FALSE,TRUE,
13,Mr,Hayden,Bronze,Male,South Korea,583-184-0257,1.81,10,FALSE,TRUE,FALSE,TRUE,
14,Mrs,Krissie,Ruby,Female,Ireland,815-989-2829,1.64,6,TRUE,TRUE,FALSE,TRUE,
15,Dr,Luke,Magenta,Male,Denmark,516-622-5033,1.7,8.5,FALSE,FALSE,FALSE,TRUE,
16,Mr,Oliver,Brown,Male,Peru,726-716-3410,1.68,10,TRUE,TRUE,FALSE,TRUE,
17,Mr,Gabriello,Pineapple,Male,Peru,607-694-8652,1.89,10.5,FALSE,FALSE,TRUE,FALSE,Security
18,Dr,Charlena,Eggnog,Female,Indonesia,908-166-8051,1.71,8.5,FALSE,TRUE,FALSE,TRUE,
19,Ms,Izabel,Cyan,Female,Indonesia,108-813-9605,1.75,6.5,FALSE,FALSE,FALSE,TRUE,
20,Dr,Shayla,Plum,Female,Chile,797-347-7377,1.68,6,TRUE,TRUE,FALSE,TRUE,
21,Ms,Rheba,Purple,Female,Poland,539-165-9213,1.67,7.5,TRUE,FALSE,FALSE,TRUE,
22,Mr,Lezley,Marine,Male,Brazil,919-208-7389,1.91,6,TRUE,FALSE,FALSE,TRUE,
23,Mrs,Olivia,Frost,Female,France,823-436-0248,1.66,11,TRUE,FALSE,TRUE,FALSE,Reception
24,Ms,Mandy,Currant,Female,Indonesia,513-683-7038,1.55,11,FALSE,FALSE,FALSE,TRUE,
25,Mr,Garfield,Orange,Male,France,129-954-9082,1.7,11,TRUE,FALSE,FALSE,TRUE,
